"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"","","","","","psychophysics","94","287653","0.0-9.0-0.0-0.33","744","","f","","","","","","","","","","","","","key","f","16.686557522123945","640","356","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","f","true","Formal"
"","","","","","psychophysics","95","289643","0.0-9.0-0.0-0.34","835","","j","","","","","","","","","","","","","key","j","16.68502542372868","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","j","true","Formal"
"","","","","","psychophysics","96","291296","0.0-9.0-0.0-0.35","494","","j","","","","","","","","","","","","","key","j","16.683551020408288","640","356","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","j","true","Formal"
"","","","","","psychophysics","97","292992","0.0-9.0-0.0-0.36","537","","f","","","","","","","","","","","","","key","f","16.684504950495143","640","356","./1_3_Stimuli/S_ambi40.png","他人","Word","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","98","295107","0.0-9.0-0.0-0.37","955","","f","","","","","","","","","","","","","key","f","16.68477600000007","640","356","./1_3_Stimuli/C_ambi40.png","自我","Word","他人","Mismatch","f","true","Formal"
"","","","","","psychophysics","99","297397","0.0-9.0-0.0-0.38","1138","","f","","","","","","","","","","","","","key","f","16.686204379562113","640","356","./1_3_Stimuli/S_ambi40.png","自我","Image","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","100","299633","0.0-9.0-0.0-0.39","1081","","f","","","","","","","","","","","","","key","f","16.68490977443604","640","356","./1_3_Stimuli/C_ambi40.png","自我","Image","他人","Mismatch","f","true","Formal"
"","","","","","psychophysics","101","301793","0.0-9.0-0.0-0.40","998","","j","","","","","","","","","","","","","key","j","16.684523437500047","640","356","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","j","true","Formal"
"","","","","","psychophysics","102","303616","0.0-9.0-0.0-0.41","664","","f","","","","","","","","","","","","","key","f","16.6874351851848","640","356","./1_3_Stimuli/S_ambi40.png","自我","Word","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","103","305391","0.0-9.0-0.0-0.42","621","","j","","","","","","","","","","","","","key","j","16.68514285714288","640","356","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal"
