"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,912,0.912,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,1054,1.054,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,1055,1.055,1
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,351,0.351,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,943,0.943,1
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",2,887,0.887,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,403,0.403,1
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,555,0.555,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,582,0.582,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,856,0.856,1
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",1,1055,1.055,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",NA,0,0,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,1071,1.071,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,855,0.855,1
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,727,0.727,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,604,0.604,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,1022,1.022,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,427,0.427,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,827,0.827,1
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,811,0.811,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,884,0.884,1
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,620,0.62,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,862,0.862,0
