"Subject","phase","condition","label","shape","correct","match","label_identity","shape_identity","group","key_resp.keys","key_resp.corr","key_resp.rt","key_resp_formal.keys","key_resp_formal.corr","key_resp_formal.rt","ID","age","sex","date","expName","psychopyVersion","frameRate"
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.6278525,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"z",1,0.7018886,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.7402891,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.4656843,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.4265636,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.5402858,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.9209234,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.4867788,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.5108394,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.4227125,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"m",0,0.7991959,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.6825781,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
