Subject,Session,Age,Handedness,Sex,BlockList.Sample,PracList.Sample,SubTrial,Label,Target,Shape,morality,identity,YesNoResp,CorrectAnswer,Targetprac.RESP,Targetprac.ACC,Targetprac.RT,Target.RESP,Target.ACC,Target.RT,,
6201,1,21,right,male,1,,31,BadOther.bmp,C.bmp,Goodself,bad,other,No,k,,,,,0,0,,
6201,1,21,right,male,1,,32,GoodSelf.bmp,S.bmp,Normalother,good,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,33,NormalOther.bmp,Tra.bmp,Normalself,normal,other,No,k,,,,,0,0,,
6201,1,21,right,male,1,,34,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,35,BadOther.bmp,T.bmp,Badother,bad,other,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,36,BadSelf.bmp,C.bmp,Goodself,bad,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,37,BadOther.bmp,D.bmp,Badself,bad,other,No,k,,,,,0,0,,
6201,1,21,right,male,1,,38,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,39,GoodSelf.bmp,C.bmp,Goodself,good,self,Yes,m,,,,m,1,495,,
6201,1,21,right,male,1,,40,NormalOther.bmp,T.bmp,Badother,normal,other,No,k,,,,m,0,1019,,
6201,1,21,right,male,1,,41,BadOther.bmp,P.bmp,Goodother,bad,other,No,k,,,,k,1,735,,
6201,1,21,right,male,1,,42,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,,,k,0,771,,
6201,1,21,right,male,1,,43,GoodOther.bmp,S.bmp,Normalother,good,other,No,k,,,,k,1,823,,
6201,1,21,right,male,1,,44,NormalOther.bmp,P.bmp,Goodother,normal,other,No,k,,,,m,0,579,,
6201,1,21,right,male,1,,45,NormalSelf.bmp,C.bmp,Goodself,normal,self,No,k,,,,k,1,735,,
6201,1,21,right,male,1,,46,BadSelf.bmp,D.bmp,Badself,bad,self,Yes,m,,,,m,1,971,,
6201,1,21,right,male,1,,47,NormalOther.bmp,C.bmp,Goodself,normal,other,No,k,,,,k,1,751,,
6201,1,21,right,male,1,,48,BadSelf.bmp,P.bmp,Goodother,bad,self,No,k,,,,k,1,772,,
6201,1,21,right,male,1,,49,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,,,k,0,528,,
