"Subject","Block","Trial","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"P24","2","66","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","749.056000262499","0.749056000262499","1"
"P24","2","67","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","843.533900100738","0.843533900100738","1"
"P24","2","68","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","454.085800331086","0.454085800331086","1"
"P24","2","69","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","576.06690004468","0.57606690004468","1"
"P24","2","70","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","645.633399952203","0.645633399952203","1"
"P24","2","71","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","568.204200360924","0.568204200360924","1"
"P24","2","72","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","606.341699603945","0.606341699603945","1"
"P24","2","73","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","658.263199962676","0.658263199962676","1"
"P24","2","74","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","612.080599647015","0.612080599647015","1"
"P24","2","75","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","792.08580031991","0.79208580031991","1"
"P24","2","76","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","548.379600048065","0.548379600048065","1"
"P24","2","77","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","602.654699701816","0.602654699701816","1"
"P24","2","78","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","542.566200252622","0.542566200252622","0"
"P24","2","79","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","757.342599797994","0.757342599797994","1"
"P24","2","80","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","531.304799951613","0.531304799951613","1"
"P24","2","81","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","682.314800098538","0.682314800098538","1"
"P24","2","82","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","763.077500276268","0.763077500276268","1"
"P24","2","83","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","552.45119985193","0.55245119985193","1"
"P24","2","84","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","606.87360027805","0.60687360027805","1"
"P24","2","85","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","593.865599948913","0.593865599948913","1"
