match,shape_identity,corr,rt,subj_idx,response,task
1,2,1,0.251441800035536,2,1,2
1,3,1,0.56755689997226,2,1,2
1,3,1,0.452606700127944,2,1,2
1,1,0,0.507779299980029,2,0,2
1,3,0,0.285975399892777,2,0,2
1,2,0,0.715137500083074,2,0,2
1,2,0,0.217112800106406,2,0,2
1,1,1,0.366636899998412,2,1,2
1,2,1,0.909777000080794,2,1,2
1,1,1,0.635565400123596,2,1,2
1,1,1,0.399047200102359,2,1,2
1,3,1,0.63293690001592,2,1,2
1,3,1,0.340388600016013,2,1,2
1,2,0,0.725929100066423,2,0,2
1,1,1,0.691926800180227,2,1,2
1,1,1,0.876932899933308,2,1,2
1,1,1,0.464514700230211,2,1,2
1,3,1,0.582046300172806,2,1,2
1,1,1,0.503273700131103,2,1,2
1,2,0,0.614265999989584,2,0,2
1,2,0,0.914310300024226,2,0,2
1,1,1,0.279685199959204,2,1,2
1,2,0,0.248894500080496,2,0,2
1,1,1,0.460554599994794,2,1,2
1,3,0,0.764796599978581,2,0,2
1,1,1,0.600412100087851,2,1,2
1,1,1,0.453923800028861,2,1,2
1,2,0,0.681356000248343,2,0,2
1,1,1,0.517283099936321,2,1,2
1,3,0,0.446229299996048,2,0,2
1,2,1,0.236088000005111,2,1,2
1,2,1,0.270521700149402,2,1,2
1,1,0,0.293929599924013,2,0,2
1,3,1,0.372448800131679,2,1,2
1,3,0,0.386611399939284,2,0,2
1,1,1,0.574549200246111,2,1,2
1,2,0,0.417640500236303,2,0,2
1,2,1,0.267713900189847,2,1,2
1,1,1,0.444229400251061,2,1,2
1,1,0,0.433010300155729,2,0,2
1,2,0,0.583480899920687,2,0,2
1,1,1,0.384796500205994,2,1,2
1,2,0,0.610722600016743,2,0,2
1,3,0,0.496891600079834,2,0,2
1,2,0,0.381274900166318,2,0,2
1,1,1,0.399433000013232,2,1,2
1,2,0,0.486097500193864,2,0,2
1,3,0,0.367679400136694,2,0,2
1,3,0,0.505328099941835,2,0,2
1,2,0,0.697476600063965,2,0,2
1,2,1,0.289750000229105,2,1,2
1,3,1,0.320145700126886,2,1,2
1,1,1,0.481582399923354,2,1,2
1,3,0,0.232761800289154,2,0,2
1,3,1,0.718013800214976,2,1,2
1,3,0,0.406526300124824,2,0,2
1,2,1,0.273439400130883,2,1,2
1,2,1,0.593494500033557,2,1,2
1,3,0,0.815936000086367,2,0,2
1,1,0,0.276672200066969,2,0,2
1,2,1,0.478849800070748,2,1,2
1,1,1,0.556905300123617,2,1,2
1,3,0,0.803558300016448,2,0,2
1,1,1,0.563688200199977,2,1,2
