"Subject","Trial","Shape","Label","Matching","ACC","RT_ms","bed","manipCheck","Resp","Cresp","Condition"
5,64,"Kreis.png","Fremder","Matching",1,2116,"L2m",4,"d","d","Ass1"
5,65,"Kreis.png","Ich","Nonmatching",1,9620,"L1n",2,"k","k","Ass1"
5,66,"Kreis.png","Fremder","Matching",1,4705,"L2m",4,"d","d","Ass1"
5,67,"Dreieck.png","Ich","Matching",1,904,"L1m",1,"d","d","Ass1"
5,68,"Dreieck.png","Fremder","Nonmatching",1,2306,"L2n",3,"k","k","Ass1"
5,69,"Kreis.png","Fremder","Matching",0,1506,"L2m",4,"k","d","Ass1"
5,70,"Kreis.png","Ich","Nonmatching",1,4604,"L1n",2,"k","k","Ass1"
5,71,"Dreieck.png","Fremder","Nonmatching",1,1427,"L2n",3,"k","k","Ass1"
5,72,"Dreieck.png","Ich","Matching",1,1267,"L1m",1,"d","d","Ass1"
5,73,"Dreieck.png","Fremder","Nonmatching",1,2942,"L2n",3,"k","k","Ass1"
5,74,"Kreis.png","Ich","Nonmatching",1,1458,"L1n",2,"k","k","Ass1"
5,75,"Kreis.png","Fremder","Matching",0,2322,"L2m",4,"k","d","Ass1"
5,76,"Dreieck.png","Ich","Matching",1,461,"L1m",1,"d","d","Ass1"
5,77,"Dreieck.png","Ich","Matching",1,805,"L1m",1,"d","d","Ass1"
5,78,"Dreieck.png","Fremder","Nonmatching",1,1098,"L2n",3,"k","k","Ass1"
5,79,"Kreis.png","Fremder","Matching",1,1717,"L2m",4,"d","d","Ass1"
5,80,"Kreis.png","Ich","Nonmatching",1,805,"L1n",2,"k","k","Ass1"
5,81,"Dreieck.png","Ich","Matching",1,713,"L1m",1,"d","d","Ass1"
5,82,"Kreis.png","Fremder","Matching",1,1104,"L2m",4,"d","d","Ass1"
5,83,"Dreieck.png","Fremder","Nonmatching",1,2518,"L2n",3,"k","k","Ass1"
5,84,"Kreis.png","Ich","Nonmatching",1,1029,"L1n",2,"k","k","Ass1"
5,85,"Dreieck.png","Fremder","Nonmatching",1,3649,"L2n",3,"k","k","Ass1"
5,86,"Kreis.png","Fremder","Matching",1,3147,"L2m",4,"d","d","Ass1"
5,87,"Dreieck.png","Ich","Matching",1,1369,"L1m",1,"d","d","Ass1"
5,88,"Kreis.png","Ich","Nonmatching",1,3571,"L1n",2,"k","k","Ass1"
5,89,"Dreieck.png","Ich","Matching",1,738,"L1m",1,"d","d","Ass1"
5,90,"Kreis.png","Ich","Nonmatching",1,1172,"L1n",2,"k","k","Ass1"
5,91,"Kreis.png","Fremder","Matching",1,977,"L2m",4,"d","d","Ass1"
5,92,"Dreieck.png","Fremder","Nonmatching",1,1707,"L2n",3,"k","k","Ass1"
5,93,"Kreis.png","Ich","Nonmatching",1,3779,"L1n",2,"k","k","Ass1"
5,94,"Dreieck.png","Ich","Matching",1,769,"L1m",1,"d","d","Ass1"
5,95,"Dreieck.png","Fremder","Nonmatching",1,867,"L2n",3,"k","k","Ass1"
5,96,"Kreis.png","Fremder","Matching",1,771,"L2m",4,"d","d","Ass1"
5,97,"Kreis.png","Fremder","Matching",1,686,"L2m",4,"d","d","Ass1"
5,98,"Dreieck.png","Ich","Matching",1,1304,"L1m",1,"d","d","Ass1"
5,99,"Dreieck.png","Fremder","Nonmatching",1,1391,"L2n",3,"k","k","Ass1"
5,100,"Kreis.png","Ich","Nonmatching",1,2655,"L1n",2,"k","k","Ass1"
5,101,"Dreieck.png","Ich","Matching",1,560,"L1m",1,"d","d","Ass1"
5,102,"Kreis.png","Fremder","Matching",1,1101,"L2m",4,"d","d","Ass1"
5,103,"Kreis.png","Ich","Nonmatching",1,824,"L1n",2,"k","k","Ass1"
5,104,"Dreieck.png","Fremder","Nonmatching",1,1222,"L2n",3,"k","k","Ass1"
5,105,"Dreieck.png","Ich","Matching",1,1000,"L1m",1,"d","d","Ass1"
5,106,"Kreis.png","Fremder","Matching",1,766,"L2m",4,"d","d","Ass1"
5,107,"Dreieck.png","Fremder","Nonmatching",1,836,"L2n",3,"k","k","Ass1"
5,108,"Kreis.png","Ich","Nonmatching",1,799,"L1n",2,"k","k","Ass1"
5,109,"Dreieck.png","Fremder","Nonmatching",1,959,"L2n",3,"k","k","Ass1"
5,110,"Kreis.png","Fremder","Matching",1,974,"L2m",4,"d","d","Ass1"
5,111,"Kreis.png","Ich","Nonmatching",1,914,"L1n",2,"k","k","Ass1"
5,112,"Dreieck.png","Ich","Matching",1,629,"L1m",1,"d","d","Ass1"
5,113,"Dreieck.png","Fremder","Nonmatching",1,1003,"L2n",3,"k","k","Ass1"
5,114,"Dreieck.png","Ich","Matching",1,684,"L1m",1,"d","d","Ass1"
5,115,"Kreis.png","Ich","Nonmatching",1,1095,"L1n",2,"k","k","Ass1"
5,116,"Kreis.png","Fremder","Matching",1,1119,"L2m",4,"d","d","Ass1"
5,117,"Dreieck.png","Fremder","Nonmatching",1,1444,"L2n",3,"k","k","Ass1"
5,118,"Kreis.png","Ich","Nonmatching",1,957,"L1n",2,"k","k","Ass1"
5,119,"Kreis.png","Fremder","Matching",1,1153,"L2m",4,"d","d","Ass1"
5,120,"Dreieck.png","Ich","Matching",1,1183,"L1m",1,"d","d","Ass1"
5,121,"Dreieck.png","Fremder","Nonmatching",1,7494,"L2n",3,"k","k","Ass1"
5,122,"Kreis.png","Ich","Nonmatching",1,844,"L1n",2,"k","k","Ass1"
5,123,"Kreis.png","Fremder","Matching",1,822,"L2m",4,"d","d","Ass1"
5,124,"Dreieck.png","Ich","Matching",1,944,"L1m",1,"d","d","Ass1"
5,125,"Kreis.png","Ich","Nonmatching",1,768,"L1n",2,"k","k","Ass1"
5,126,"Kreis.png","Fremder","Matching",1,841,"L2m",4,"d","d","Ass1"
5,127,"Dreieck.png","Fremder","Nonmatching",1,1271,"L2n",3,"k","k","Ass1"
5,128,"Dreieck.png","Ich","Matching",1,4460,"L1m",1,"d","d","Ass1"
6,1,"Kreis.png","Ich","Matching",1,1059,"L2m",4,"d","d","Ass2"
6,2,"Dreieck.png","Ich","Nonmatching",1,893,"L2n",3,"k","k","Ass2"
6,3,"Dreieck.png","Fremder","Matching",1,2494,"L1m",1,"d","d","Ass2"
6,4,"Kreis.png","Fremder","Nonmatching",1,1375,"L1n",2,"k","k","Ass2"
6,5,"Dreieck.png","Fremder","Matching",0,939,"L1m",1,"k","d","Ass2"
6,6,"Kreis.png","Ich","Matching",1,833,"L2m",4,"d","d","Ass2"
6,7,"Kreis.png","Fremder","Nonmatching",1,1379,"L1n",2,"k","k","Ass2"
6,8,"Dreieck.png","Ich","Nonmatching",0,1594,"L2n",3,"d","k","Ass2"
6,9,"Kreis.png","Ich","Matching",1,956,"L2m",4,"d","d","Ass2"
6,10,"Dreieck.png","Ich","Nonmatching",1,1994,"L2n",3,"k","k","Ass2"
6,11,"Dreieck.png","Fremder","Matching",0,2122,"L1m",1,"k","d","Ass2"
6,12,"Kreis.png","Fremder","Nonmatching",0,1023,"L1n",2,"d","k","Ass2"
6,13,"Kreis.png","Ich","Matching",1,814,"L2m",4,"d","d","Ass2"
6,14,"Dreieck.png","Fremder","Matching",0,719,"L1m",1,"k","d","Ass2"
6,15,"Dreieck.png","Ich","Nonmatching",0,1128,"L2n",3,"d","k","Ass2"
6,16,"Kreis.png","Fremder","Nonmatching",1,2024,"L1n",2,"k","k","Ass2"
6,17,"Dreieck.png","Ich","Nonmatching",0,876,"L2n",3,"d","k","Ass2"
6,18,"Kreis.png","Fremder","Nonmatching",1,2068,"L1n",2,"k","k","Ass2"
6,19,"Kreis.png","Ich","Matching",1,2126,"L2m",4,"d","d","Ass2"
6,20,"Dreieck.png","Fremder","Matching",0,1427,"L1m",1,"k","d","Ass2"
6,21,"Dreieck.png","Fremder","Matching",1,1840,"L1m",1,"d","d","Ass2"
6,22,"Kreis.png","Ich","Matching",1,1055,"L2m",4,"d","d","Ass2"
6,23,"Kreis.png","Fremder","Nonmatching",1,916,"L1n",2,"k","k","Ass2"
6,24,"Dreieck.png","Ich","Nonmatching",1,914,"L2n",3,"k","k","Ass2"
6,25,"Dreieck.png","Fremder","Matching",0,1501,"L1m",1,"k","d","Ass2"
6,26,"Kreis.png","Fremder","Nonmatching",1,1909,"L1n",2,"k","k","Ass2"
6,27,"Dreieck.png","Ich","Nonmatching",0,1284,"L2n",3,"d","k","Ass2"
6,28,"Kreis.png","Ich","Matching",1,2409,"L2m",4,"d","d","Ass2"
6,29,"Kreis.png","Fremder","Nonmatching",1,2751,"L1n",2,"k","k","Ass2"
6,30,"Kreis.png","Ich","Matching",1,763,"L2m",4,"d","d","Ass2"
6,31,"Dreieck.png","Ich","Nonmatching",0,831,"L2n",3,"d","k","Ass2"
6,32,"Dreieck.png","Fremder","Matching",0,1436,"L1m",1,"k","d","Ass2"
6,33,"Kreis.png","Ich","Matching",1,759,"L2m",4,"d","d","Ass2"
6,34,"Kreis.png","Fremder","Nonmatching",1,1352,"L1n",2,"k","k","Ass2"
6,35,"Dreieck.png","Fremder","Matching",0,764,"L1m",1,"k","d","Ass2"
6,36,"Dreieck.png","Ich","Nonmatching",1,1519,"L2n",3,"k","k","Ass2"
6,37,"Dreieck.png","Ich","Nonmatching",0,872,"L2n",3,"d","k","Ass2"
6,38,"Dreieck.png","Fremder","Matching",0,2426,"L1m",1,"k","d","Ass2"
6,39,"Kreis.png","Fremder","Nonmatching",1,755,"L1n",2,"k","k","Ass2"
6,40,"Kreis.png","Ich","Matching",1,587,"L2m",4,"d","d","Ass2"
6,41,"Dreieck.png","Fremder","Matching",1,1612,"L1m",1,"d","d","Ass2"
6,42,"Dreieck.png","Ich","Nonmatching",0,531,"L2n",3,"d","k","Ass2"
6,43,"Kreis.png","Ich","Matching",1,978,"L2m",4,"d","d","Ass2"
6,44,"Kreis.png","Fremder","Nonmatching",1,2109,"L1n",2,"k","k","Ass2"
6,45,"Dreieck.png","Fremder","Matching",0,667,"L1m",1,"k","d","Ass2"
6,46,"Kreis.png","Fremder","Nonmatching",1,753,"L1n",2,"k","k","Ass2"
6,47,"Kreis.png","Ich","Matching",1,644,"L2m",4,"d","d","Ass2"
6,48,"Dreieck.png","Ich","Nonmatching",0,568,"L2n",3,"d","k","Ass2"
6,49,"Kreis.png","Ich","Matching",1,2130,"L2m",4,"d","d","Ass2"
